GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
NDUFS3	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A		
NDUFS4	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A		
NDUFS6	Mitochondrial complex I deficiency	AR	N/A		
NDUFS7	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A		
NDUFS8	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A		
NDUFV1	Mitochondrial complex I deficiency	AR	N/A		
NDUFV2	Mitochondrial complex I deficiency	AR	N/A		
NEB	Nemaline myopathy 2	AR	N/A		
NEFL	"Charcot-Marie-Tooth disease, axonal, type 2E"	AD	N/A		
NEK1	"Short rib-polydactyly syndrome, type II"	AR/Digenic	N/A		
NEK8	Nephronophthisis 9	AR	N/A		
NEU1	"Sialidosis, type I; Sialidosis, type II"	AR	N/A		
NEUROG3	"Diarrhea 4, malabsorptive, congenital"	AR			
NEXN	"Cardiomyopathy, familial hypertrophic, 20; Cardiomyopathy, dilated, 1CC"	AD			
NF1	"Neurofibromatosis type 1, Neurofibromatosis-Noonan syndrome; Watson syndrome"	AD			
NF2	Neurofibromatosis type II	AD			
NFIX	Marshall-Smithsyndrome; Sotos syndrome 2	AD	N/A		
NFKBIA	"Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency"	AD			
NFU1	Multiple mitochondrial dysfunctions syndrome 1	AR	N/A		
NGF	"Neuropathy, hereditary sensory and autonomic, type V"	AR	N/A		
NGLY1	"Congenital disorder of glycosylation, type Iv"	AR			
NHEJ1	"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation"	AR			
NHLRC1	"Epilepsy, progressive myoclonic 2B (Lafora)"	AR	N/A		
NHP2	"Dyskeratosis congenita, autosomal recessive 2"	AR			
NHS	"Nance-Horan syndrome; Cataract, congenital, X-linked"	XL	N/A		
NIN	Seckel syndrome 7	AR	N/A		
NIPA1	Spastic paraplegia-6	AD	N/A		
NIPAL4	"Ichthyosis, congenital, autosomal recessive"	AR	N/A		
NIPBL	Cornelia de Lange syndrome 1	AD	N/A		
NKX2-1	"Choreoathetosis, hypothyroidism, and neonatal respiratory distress"	AD	"Allelic with Chorea, hereditary benign (AD)"		
NKX2-5	"Atrial septal defect 7, with or without AV conduction defects; Hypothyroidism, congenital nongoitrous, 5"	AD	"Mutations may also result in a variety of congenital heart malformations: Hypoplastic left heart syndrome 2 (AD); Ventricular septal defect 3 (AD); Conotruncal heart malformations, variable (AD); Tetralogy of Fallot (AD)"		
NKX2-6	Persistent truncus arteriosus	AR	N/A		
NKX3-2	Spondylo-megaepiphyseal-metaphyseal dysplasia	AR	N/A		
NLGN3	"Asperger syndrome, X-linked 1; Autism, X-linked 1"	XL	N/A		
NLGN4X	"Asperger syndrome, X-linked 2; Autism, X-linked 2; Mental retardation, X-linked"	XL	N/A		
NLRP1	Corneal intraepithelial dyskeratosis	AD	N/A		
NLRP12	Familial cold autoinflammatory syndrome 2 	AD			
NLRP3	Chronic Infantile Neurologic Cutaneous Articular (CINCA) syndrome; Neonatal Onset Multisystem Inflammatory Disease (NOMID); Muckle-Wells syndrome	AD	Allelic with Familial cold-induced autoinflammatory syndrome (AD)		
NLRP7	Hydatidiform mole	AR			
NME8	"Ciliary dyskinesia, primary, 6"	AR			
NNT	Glucocorticoid deficiency 4	AR			
NOBOX	Premature ovarian failure 5	AD			
NOD2	"Blau syndrome; Sarcoidosis, early-onset"	AD/AR			
NODAL	"Heterotaxy, visceral, 5"	AD	N/A		
NOG	"Brachydactyly, type B2; Tarsal-carpal coalition syndrome; Multiple synostosis syndrome 1; Symphalangism, proximal; Stapes ankylosis with broad thumb and toes (Teunissen-Cremers syndrome)"	AD			
NOL3	"Myoclonus, familial cortical"	AD	N/A		
NOP10	"Dyskeratosis congenita, autosomal recessive 1"	AR			
NOP56	Spinocerebellar ataxia 36	AD 	N/A		
NOTCH1	Aortic valve disease	AD			
NOTCH2	Alagille syndrome 2	AD	Allelic with Hajdu-Cheney syndrome (AD); Serpentine fibula-polycystic kidney syndrome (AD)		
NOTCH3	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	AD			
NPC1	"Niemann-Pick disease, type C1; Niemann-Pick disease, type D "	AR	N/A		
NPC1L1	"Ezetimibe, nonresponse to"	AD/AR			
NPC2	"Niemann-pick disease, type C2"	AR	N/A		
NPHP1	"Joubert syndrome 4; Senior-Loken syndrome 1; Nephronophthisis 1, juvenile "	AR	N/A		
NPHP3	Nephronophthisis 3; Meckel syndrome 7; Renal-hepatic-pancreatic dysplasia 	AR	N/A		
NPHP4	Nephronophthisis 4; Senior-Loken syndrome 4	AR	N/A		
NPHS1	"Nephrotic syndrome, type 1"	AR	N/A		
NPHS2	"Nephrotic syndrome, type 2"	AR	N/A		
NPPA	"Atrial fibrillation, familial, 6"	AD			
NPR2	"Tall stature, scoliosis and great toe macrodactyly; Acromesomelic dysplasia, Maroteaux type"	AD/AR	N/A		
NR0B1	"Adrenal hypoplasia, congenital; 46,XY sex reversal 2 "	XL			
NR2E3	Enhanced S-cone syndrome; Retinitis pigmentosa 37	AD/AR	N/A		
NR3C1	Cortisol resistance	AD/AR			
NR3C2	"Pseudohypoaldosteronism type I, autosomal dominant; Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy"	AD			
NR5A1	"Adrenocortical insufficiency; 46, XY sex reversal, 3; Premature ovarian failure 7"	AD/AR	Allelic with Spermatogenic failure 8 (AD)		
NRAS	ALPS type 4; Noonan syndrome 6	AD			
NRIP1	Schizophrenia	AD	N/A		
NRL	Retinitis pigmentosa 27; Clumped pigmentary retinal degeneration	AD/AR	N/A		
NRXN1	Schizophrenia 17; Pitt-Hopkins-like syndrome 2	AD/AR	N/A		
NSD1	Sotos syndrome; Weaver syndrome; Beckwith-Wiedemann syndrome	AD			
NSDHL	Congenital hemidysplasia with ichthyosiform erythroderma and limb defects (CHILD syndrome); CK syndrome	XL	N/A		
NSMF	Hypogonadotropic hypogonadism	AD			
NT5C3A	"Uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to"	AR			
NT5E	Calcification of joints and arteries	AR	N/A		
NTF4	"Glaucoma 1, Open angle, O"	AD			
NTRK1	"Insensitivity to pain, congenital, with anhidrosis"	AR	"Allelic with Medullary thyroid carcinoma, familial (AD), but the evidence/clinical applicability is unclear"		
NTRK2	"Obesity, hyperphagia, and developmental delay"	AD	N/A		
NUBPL	Mitochondrial complex I deficiency	AR	N/A		
NUP62	"Striatonigral degeneration, infantile"	AR	N/A		
NYX	"Night blindness, congenital stationary, type 1A"	XL	N/A		
OAT	Gyrate atrophy of choroid and retina	AR			
OBSL1	Three M syndrome 2	AR	N/A		
OCA2	"Albinism, oculocutaneous, type II; Albinism, brown oculocutaneous; Skin/hair/eye pigmentation 1"	AR/AD	N/A		
OCLN	Band-like calcification with simplified gyration and polymicrogyria	AR	N/A		
OCRL	Dent disease 2; Lowe syndrome	XL			
ODAM	"Amelogenesis imperfecta, hypomaturation type, IIA4"	AR	N/A		
OFD1	Orofaciodigital syndrome 1; Simpson-Golabi-Behmel syndrome type 2; Joubert syndrome 10; Retinitis pigmentosa 23	XL	N/A		
OPA1	"Glaucoma, normal tension, susceptibility to"	AD	"Allelic with Optic atrophy 1 (AD); Optic atrophy with or without deafness (AD); Ophthalmoplegia, myopathy, ataxia, and neuropathy (AD) (in hich deafness has been reported as occuring in early childhood, but is typically later-onset)"		
OPA3	"3-methylglutaconic aciduria, type III; Optic atrophy 3, autosomal dominant"	AR/AD	N/A		
OPHN1	"Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance"	XL	N/A		
OPLAH	5-oxoprolinase deficiency	AR	N/A		
OPN1LW	"Colorblindness, partial, protan series; Blue cone monochromacy; Red cone polymorphism"	XL (involving both OPN1 genes)	N/A		
OPN1MW	"Colorblindness, partial, deutan series; Cone dystrophy 5, X-linked; Blue cone monochromacy"	XL (involving both OPN1 genes)	N/A		
OPN1SW	Tritanopia	AD	N/A		
OPTN	"Glaucoma, normal tension, susceptibility to; Glaucoma 1, open angle, E "	AD	Allelic with Amyotrophic lateral sclerosis 12 (AD/AR)		
ORAI1	Immune dysfunction with T-cell inactivation due to calcium entry defect 1	AR			
ORC1	Meier-Gorlin syndrome 1	AR	N/A		
ORC4	Meier-Gorlin syndrome 2	AR	N/A		
ORC6	Meier-Gorlin syndrome 3	AR	N/A		
OSMR	"Amyloidosis, primary localized cutaneous, 1"	AD	N/A		
OSTM1	"Osteopetrosis, autosomal recessive 5"	AR	N/A		
OTC	Ornithine transcarbamylase deficiency	XL			
OTOA	"Deafness, autosomal recessive 22"	AR			
OTOF	"Deafness, autosomal recessive 9; Neuropathy, autosomal recessive, 1"	AR			
OTOG	"Deafness, autosomal recessive 18B"	AR			
OTOGL	"Deafness, autosomal recessive 84B"	AR			
OTX2	"Pituitary hormone deficiency, combined 6; Microphthalmia, syndromic 5"	AD			
OXCT1	Succinyl CoA:3-oxoacid CoA transferase deficiency	AR			
P2RY12	"Bleeding disorder, platelet-type, 8"	AD/AR			
PABPN1	Oculopharyngeal muscular dystrophy	AD/AR	N/A		
PACS1	"Mental retardation, autosomal dominant 17"	AD	N/A		
PAFAH1B1	Lissencephaly 1; Subcortical laminar heterotopia	AD	N/A		
PAH	"Phenylketonuria; Hyperphenylalaninemia, non-PKU mild"	AR			
PAK3	"Mental retardation, X-linked 30"	XL	N/A		
PALB2	"Breast cancer, Pancreatic cancer, susceptibility to 3, Fanconi anemia, complementation group N"	AD/AR			
PANK2	"Hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration; Neurodegeneration with brain iron accumulation 1  "	AD/AR	N/A		
PAPSS2	Brachyolmia 4 with mild epiphyseal and metaphyseal changes	AR	N/A		
PARK2	"Parkinson disease 2, autosomal recessive juvenile"	AR	N/A		
PARK7	"Parkinson disease 7, autosomal recessive early-onset"	AR	N/A		
PAX2	Papillorenal syndrome; Isolated renal hypoplasia	AD			
PAX3	"Waardenburg syndrome, type 1; Waardenburg syndrome, type 3; Craniofacial-deafness-hand syndrome"	AD/AR  			
PAX4	"Maturity-onset diabetes of the young, type 9"	AD	N/A		
PAX6	"Peters anomaly; Cataract with late-onset corneal dystrophy; Aniridia; Aniridia, cerebellar ataxia, and mental retardation (Gillespie syndrome); Optic nerve hypoplasia; Keratitis; Foveal hypoplasia and presenile cataract syndrome; Coloboma, ocular; Morning glory disc anomaly"	AD			
PAX8	"Hypothyroidism, congenital, nongoitrous 2"	AD			
PAX9	"Tooth agenesis, selective, 3"	AD	N/A		
PC	Pyruvate carboxylase deficiency	AR			
PCBD1	"Hyperphenylalaninemia, BH4-deficient, D"	AR	N/A		
PCCA	Propionic acidemia	AR			
PCCB	Propionic acidemia	AR			
PCDH15	"Usher syndrome, type 1F; Usher syndrome, type 1D/F digenic"	AR			
PCDH19	"Epileptic encephalopathy, early infantile, 9"	XL	N/A		
PCNT	"Microcephalic osteodysplastic primordial dwarfism, type II"	AR	N/A		
PCSK1	Proprotein convertase 1/3 deficiency	AD	N/A		
PCSK9	"Hypercholesterolemia, familial, 3"	AD			
PDCD10	Cerebral cavernous malformations 3	AD			
PDE11A	"Pigmented nodular adrenocortical disease, primary, 2"	AD			
PDE4D	"Acrodysostosis 2, with or without hormone resistance"	AD	N/A		
PDE6A	Retinitis pigmentosa 43	AR	N/A		
PDE6B	"Night blindness, congenital stationary, autosomal dominant 2; Retinitis pigmentosa 40"	AD/AR	N/A		
PDE6C	Cone dystrophy 4	AR	N/A		
PDE6G	Retinitis pigmentosa 57	AR	N/A		
PDE6H	"Retinal cone dystrophy 3A; Incomplete achromatopsia, autosomal recessive"	AD/AR	N/A		
PDE8B	"Pigmented nodular adrenocortical disease, pimrary, 3"	AD	"Allelic with Striatal degeneration, autosomal dominant (AD)"		
PDGFRA	Gastrointestinal stromal tumor	AD			
PDGFRB	"Basal ganglia calcification, idiopathic, 4 "	AD	N/A		
PDHA1	"Pyruvate dehydrogenase E1 deficiency; Leigh syndrome, X-linked"	XL			
PDHB	Pyruvate dehydrogensae E1-beta deficiency	AR	N/A		
PDHX	Pyruvate dehydrogenase E3-binding protein deficiency	AR			
PDK3	"Charcot-Marie-Tooth disease, X-linked"	XL	N/A		
PDP1	Pyruvate dehydrogenase phosphatase deficiency	AR	N/A		
PDSS1	Coenzyme Q10 deficiency	AR			
PDSS2	Coenzyme Q10 deficiency	AR			
PDX1	"Pancreatic agenesis, congenital"	AR	"Heterozygous variants are associated with Maturity-onset diabetes of the young, type 4 (AD)"		
PDYN	Spinocerebellar ataxia 23	AD	N/A		
PDZD7	"Usher syndrome, type IIC"	(Digenic) AR			
PEPD	Prolidase deficiency	AR			
PER2	"Advanced sleep phase syndrome, familial"	AD	N/A		
PEX1	"Peroxisome biogenesis factor disorder 1; Adrenoleukodystrophy, neonatal; Refsum disease, infantile; Zellweger syndrome-1  "	AR	N/A		
PEX10	"Peroxisome biogenesis factor disorder 10; Adrenoleukodystrophy, neonatal; Zellweger syndrome; Ataxia, autosomal recessive"	AR	N/A		
PEX11B	Peroxisome biogenesis factor disorder 14B	AR	N/A		
PEX12	Peroxisome biogenesis factor disorder 12	AR	N/A		
PEX13	"Peroxisome biogenesis factor disorder 13; Zellweger syndrome; Adrenoleukodystrophy, neonatal "	AR	N/A		
PEX14	Peroxisome biogenesis factor disorder 14; Zellweger syndrome	AR	N/A		
PEX16	Peroxisome biogenesis factor disorder 16	AR	N/A		
PEX19	"Peroxisome biogenesis disorder, 19; Zellweger syndrome"	AR	N/A		
PEX2	"Peroxisome biogenesis disorder, 2; Refsum disease, infantile; Zellweger syndrome 3"	AR	N/A		
PEX26	"Peroxisome biogenesis factor disorder26; Adrenoleukodystrophy, neonatal ; Refsum disease, infantile; Zellweger syndrome"	AR	N/A		
PEX3	Peroxisome biogenesis factor disorder 3; Zellwegger syndrome complementation group G	AR	N/A		
PEX5	"Peroxisome biogenesis disorder, 5; Zellweger syndrome; Adrenoleukodystrophy, neonatal"	AR	N/A		
PEX6	"Peroxisome biogenesis disorder, 6; Zellweger syndrome"	AR	N/A		
PEX7	Refsum disease	AR	"Allelic with Peroxisome biogenesis disorder (AR); Rhizomelic chondrodysplasia punctata, type 1 (AR)"		
PFKM	Glycogen storage disease VII	AR			
PFN1	Amyotrophic lateral sclerosis 18	AD	N/A		
PGAM2	Glycogen storage disease X	AR			
PGAP2	Hyperphosphatasia with mental retardation syndrome 3	AR	N/A		
PGK1	Phosphoglycerate kinase 1 deficiency	XL			
PGM1	"Glycogen storage disease XIV; Congenital disorder of glycosylation, type It"	AR			
PHEX	"Hypophosphatemic rickets, X-linked dominant"	XL			
PHF6	Borjeson-Forssman-Lehmann syndrome	XL	N/A		
PHF8	"Mental retardation syndrome, X-linked, Siderius type"	XL	N/A		
PHGDH	Phosphoglycerate dehydrogenase deficiency	AR			
PHKA1	"Glycogen storage disease, type Ixd"	XL			
PHKA2	Phosphorylase kinase deficiency 	XL			
PHKB	Glycogen storage disease IXb	AR			
PHKG2	Glycogen storage disease IXc	AR			
PHOX2A	"Fibrosis of extraocular muscles, congenital, 2"	AR	N/A		
PHOX2B	"Central hypoventilation syndrome, congenital"	AD			
PHYH	Refsum disease	AR			
PHYKPL	Phosphohydroxylysinuria 	AR	N/A		
PIGA	Multiple congenital anomalies-hypotonia-seizures syndrome 2	XL	N/A		
PIGM	Glycosylphosphatidylinositol deficiency	AR			
PIGN	Multiple congenital anomalies-hypotonia-seizures syndrome	AR	N/A		
PIGO	Hyperphosphatasia with mental retardation syndrome 2	AR	N/A		
PIGV	Hyperphosphatasia with mental retardation syndrome 1	AR	N/A		
PIK3CA	Cowden syndrome 5	AD			
PIK3R1	"Agammaglobulinemia 7, autosomal recessive"	AR			
PIK3R5	Ataxia-oculomotor apraxia 3	AR	N/A		
PIKFYVE	Corneal fleck dystrophy	AD	N/A		
PINK1	"Parkinson disease 6, autosomal recessive, early onset"	AR	N/A		
PIP5K1C	Lethal congenital contractural syndrome 3	AR	N/A		
PITPNM3	Cone-rod dystrophy 5	AD	N/A		
PITX1	"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly"	AD	N/A		
PITX2	"Axenfeld-Rieger syndrome, type 1; Peters anomaly; Ring dermoid of cornea; Iridogoniodysgenesis, type 2 "	AD			
PITX3	"Cataract, posterior polar, 4; Cataract, congenital; Cataract, posterior polar 4, syndromic; Anterior segment mesenchymal dysgenesis"	AD	N/A		
PKD1	"Polycystic kidney disease, adult type I"	AD			
PKD2	Polycystic kidney disease 2	AD			
PKHD1	"Polycystic kidney disease, autosomal recessive"	AR			
PKLR	Pyruvate kinase deficiency	AR	"Allelic with Elevation of red blood cell ATP levels, familial (AD)"		
PKP1	Ectodermal dysplasia/skin fragility syndrome	AR	N/A		
PKP2	"Arrhythmogenic right ventricular dysplasia, familial 9"	AD			
PLA2G4A	"Phospholipase A2, group IV A, deficiency of"	AR			
PLA2G5	"Fleck retina, familial benign"	AR	N/A		
PLA2G6	"Parkinson disease 14, autosomal recessive; Neurodegeneration with brain iron accumulation 2A; Neurodegeneration with brain iron accumulation 2B"	AR	N/A		
PLA2G7	Platelet-activating factor acetylhydrolase deficiency	AR	N/A		
PLAGL1	"Diabetes mellitus, transient neonatal"	AD			
PLAU	Quebec platelet disorder	AD			
PLCB1	"Epileptic encephalopathy, early infantile, 12"	AR	N/A		
PLCB4	Auriculocondylar syndrome 2 	AD	N/A		
PLCD1	Leukonychia totalis and/or partialis	AD/AR	N/A		
PLCE1	"Nephrotic syndrome, type 3"	AR	N/A		
PLCG2	"Familial cold autoinflammatory syndrome 3 (PLAID); Autoinflammation, antibody deficiency, and immune dysregulation syndrome (APLAID)"	AD			
PLEC	"Muscular dystrophy, limb-girdle, type 2Q; Epidermolysis bullosa simplex with pyloric atresia; Epidermolysis bullosa simplex with muscular dystrophy; Epidermolysis bullosa simplex, Ogna type "	AR	N/A		
PLEKHG5	"Spinal muscular atrophy, distal, autosomal recessive, 4"	AR	N/A		
PLEKHM1	"Osteopetrosis, autosomal recessive 6"	AR	N/A		
PLG	"Plasminogen deficiency, type I"	AR			
PLIN1	"Lipodystrophy, familial partial, type 4"	AD			
PLN	"Cardiomyopathy, dilated, 1P; Cardiomyopathy, familial hypertrophic, 18"	AD/AR			
PLOD1	Ehlers-Danlos syndrome type VI	AR			
PLOD2	Bruck syndrome 2	AR	N/A		
PLOD3	"Bone fragility with contractures, arterial rupture, and deafness"	AR			
PLP1	Spastic paraplegia-2; Pelizaeus-Merzbacher disease	XL	N/A		
PMM2	"Congenital disorder of glycosylation, type Ia"	AR	 		
PMP22	"Roussy-Levy syndrome; Charcot-Marie-Tooth syndrome, type 1A; Charcot-Marie-Tooth syndrome with deafness (type 1E); Neuropathy, hereditary, with liability to pressurve palsies; Dejerine-Sottas disease; Neuropathy, inflammatory demyelinating "	AD/AR	N/A		
PMS2	"Colorectal cancer, hereditary nonpolyposis type 4; Mismatch repair cancer syndrome "	AD			
PNKP	"Epileptic encephalopathy, early infantile, 10"	AR	N/A		
PNP	Purine nucleoside phosphorylase deficiency	AR			
PNPLA1	"Ichthyosis, congenital, autosomal recessive 10"	AR	N/A		
PNPLA2	Neutral lipid storage disease with myopathy	AR	N/A		
PNPLA6	Spastic paraplegia 39	AR	N/A		
PNPO	Pyridoxamine 5'-phosphate oxidase deficiency	AR			
PNPT1	"Deafness, autosomal recessive 70"	AR	"Allelic with Combined oxidative phosphorylation deficiency, 13 (AR)"		
POC1A	"Short stature, onychodysplasia, facial dysmorphism, and hypotrichosis (SOFT syndrome)"	AR	N/A		
POF1B	Premature ovarian failure 2B	XL			
POLD1	"Colorectal cancer, susceptibility to, 10"	AD			
POLE	"Colorectal cancer, susceptibility to, 12; Facial dysmorphism, immunodeficiency, livedo, and short stature syndrome (FILS syndrome)"	AD/AR			
POLG	"Progressive external ophthalmoplegia, autosomal dominant; Progressive external ophthalmoplegia, autosomal recessive; Mitochondrial DNA depletion syndrome 4B; Sensory ataxia, dysarthria, and ophthalmoparesis; Mitochondrial DNA depletion syndrome 4A (Alpers type); Alpers syndrome;  POLG-related ataxia neuropathy spectrum disorders"	AD/AR	N/A		
POLG2	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4"	AD	N/A		
POLH	"Xeroderma pigmentosum, variant type"	AR			
POLR1C	Treacher Collins syndrome 3	AR	N/A		
POLR1D	Treacher Collins syndrome 2	AD	N/A		
POLR3A	"Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism"	AR	N/A		
POLR3B	"Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism"	AR	N/A		
POMC	Proopiomelanocortin deficiency	AR			
POMGNT1	"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3; Congenital muscular dystrophy with brain and eye anomalies, type A3; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3"	AR	N/A		
POMP	Keratosis linearis with ichthyosis congenita and sclerosing keratoderma	AR	N/A		
POMT1	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1 "	AR			
POMT2	"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2 ; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2"	AR			
PON1	"Clopidogrel treatment, sensitivity to"	AD/AR	 		
POR	Antley-Bixler syndrome; Disordered steroidogenesis due to cytochrome p450 oxidoreductase deficiency	AR			
PORCN	Focal dermal hypoplasia	XL	N/A		
POU1F1	"Pituitary hormone deficiency, combined 1"	AR			
POU3F4	"Deafness, X-linked 2"	XL			
POU4F3	"Deafness, autosomal dominant 15"	AD	N/A		
POU6F2	Wilms tumor 5	AD			
PPARG	"Lipodystrophy, familial, partial, type 3; Insulin resistance, severe, digenic"	AD/Digenic (Severe digenic insulin resistance can be due to digenic mutations in PPP1R3A and PPARG)	N/A		
